Sno,Layer,Module,Epic,Story,Task,Description,Priority,Phase,Status,Notes
JSV2S1012,Ingestion,Job Ingestion,Platform Foundation,Observability,[Platform] Establish ingestion metrics,"Track jobs fetched, inserted, updated, duplicated, reposted and failed by source/run.",,Phase 1.5,Completed,"Built 2026-09-03. Counts are columns on ingestion_runs, not derived: derivation cannot see rejected rows, so a fetch that dropped everything would look like a fetch that found nothing. statusFor() unit tested. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1013,Ingestion,Job Ingestion,Platform Foundation,Reliability,[Platform] Define source failure isolation,Ensure one failed source does not stop other sources from executing.,,Phase 1.5,Completed,"Built 2026-09-03. features/ingestion/reliability.ts - isolate()/isolateAll() return failures instead of throwing. Plus the 'partial' run status so partial success is not reported as either outcome. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1014,Ingestion,Job Ingestion,Platform Foundation,Reliability,[Platform] Define retry/backoff strategy,"Standardize retry behaviour for API failures, rate limits and transient errors.",,Phase 1.5,Completed,"Built 2026-09-03. withRetry() with full-jitter exponential backoff; isRetryable() does not retry 4xx. Sleep and jitter injectable so tests do not wait. 8 unit tests. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1015,Ingestion,Job Ingestion,Platform Foundation,Reliability,[Platform] Define failed-job/DLQ handling,Preserve failed payloads and processing errors for investigation/reprocessing without breaking the ingestion run.,,Phase 1.5,Completed,"Built 2026-09-03. db/schema/ingestion-failures.ts - DLQ with verbatim payload, stage, error and reprocessedAt. Failures buffered and written once per run, not per row. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1016,Ingestion,Job Ingestion,Scheduler,Periodic Execution,[Platform] Configure GitHub Actions CRON,Schedule ingestion jobs at the required daily/periodic frequency.,,Phase 1.5,Review,"BUILT 2026-09-04. .github/workflows/daily.yml, 06:00 IST, with workflow_dispatch and a dry-run input. Concurrency group prevents overlapping runs double-billing the same jobs. 2026-09-05: gated on the Apify decisions (actor, budget ceiling, fetch parameters). Cannot be validated until a real fetch runs."
JSV2S1017,Ingestion,Job Ingestion,Scheduler,Periodic Execution,[Platform] Implement ingestion orchestrator,"Load enabled sources, execute adapters, collect results and manage run lifecycle.",,Phase 1.5,Ready,
JSV2S1018,Ingestion,Job Ingestion,Scheduler,Parallel Execution,[Platform] Enable independent source execution,Allow multiple source adapters to execute independently/parallel where appropriate.,,Phase 2,Not Started,
JSV2S1019,Ingestion,Job Ingestion,Fetcher,LinkedIn,[Functional] Integrate LinkedIn via Apify,Trigger the selected LinkedIn Apify Actor and retrieve job records.,,Phase 1.5,Review,"BUILT 2026-09-04 against valig/linkedin-jobs-scraper. features/ingestion/sources/apify-linkedin.ts, mapped from a real 100-row dataset. Actor billing still unverified - the adapter has never been run live. 2026-09-05: gated on the Apify decisions (actor, budget ceiling, fetch parameters). Cannot be validated until a real fetch runs. ACTOR CONFIRMED 2026-09-05 by the owner: RIGGeqD6RqKmlVoQU = valig/linkedin-jobs-scraper, the one already wired. Identity and schema verified against the Apify API, not the store page. CRITICAL BUG FOUND AND FIXED THE SAME DAY: buildInput sent title / rows / publishedAt, but the actor declares keywords / limit / datePosted. Apify IGNORES UNKNOWN INPUT KEYS SILENTLY, so there was no error - the run just used defaults. Consequences: no keyword filter (arbitrary jobs for the location), no recency filter (stale postings), and limit falling back to its default of 100, which made limitPerLocation=30 in config/pipeline.ts completely inert. Eleven locations would have fetched 1,100 jobs a night instead of 330, and the actor bills per result. Six unit tests now assert the field names by name, because a silently-ignored key cannot be caught by a status code. Capabilities newly available and wired: titleInclude/titleExclude post-filters and skipJobId - the last is the only dedupe that SAVES MONEY, since ingest.ts dedupe runs after the results are paid for."
JSV2S1020,Ingestion,Job Ingestion,Fetcher,LinkedIn,[Functional] Define LinkedIn fetch parameters,"Configure keywords, locations, recency and other supported search parameters.",,Phase 1.5,Review,"DECIDED + BUILT 2026-09-04. config/pipeline.ts - 11 preferred cities, 24-hour window (LinkedIn r86400), 30 results per location. Role titles only as search terms: the domain filter reads the whole JD and does it better than a search box, and narrowing upstream would starve the gate. 2026-09-05: gated on the Apify decisions (actor, budget ceiling, fetch parameters). Cannot be validated until a real fetch runs. 2026-09-05: the parameters are now actually transmitted (see JSV2S1019 - they were being dropped). datePosted maps onto LinkedIn's enum: r86400 / r604800 / r2592000, with an unsupported window falling back to no filter rather than a rejected run. limit is clamped to 1..1000, the actor's own ceiling. STILL NEEDS A DECISION on the values themselves: config/pipeline.ts currently proposes 11 locations x 30 results, posted within 1 day, on 5 titles, which is 330 jobs/night at a measured worst case of $0.143/night or about $4.30/month. titleExclude is available and unpopulated - worth deciding what to drop at source, since filtering there is the cheapest place."
JSV2S1021,Ingestion,Job Ingestion,Fetcher,LinkedIn,[Functional] Extract LinkedIn job details,"Capture LinkedIn job ID, title, company, location, posting information, description and LinkedIn URL.",,Phase 1.5,Review,"BUILT 2026-09-04. Maps id/title/companyName/location/postedDate/contractType/experienceLevel/salary. NOTE: the actor's `description` field has NO line breaks - all structure is in `descriptionHtml`, so features/ingestion/html-text.ts converts it. Taking the plain field collapsed every JD to one unweighted block. 2026-09-05: gated on the Apify decisions (actor, budget ceiling, fetch parameters). Cannot be validated until a real fetch runs."
JSV2S1022,Ingestion,Job Ingestion,Fetcher,LinkedIn,[Functional] Resolve external application URL,Capture the actual external career/ATS application URL rather than Easy Apply where available.,,Phase 1.5,Blocked,"BLOCKED BY THE SOURCE 2026-09-04. valig/linkedin-jobs-scraper returns an EMPTY applyUrl on every row, including those marked applyType=EXTERNAL. Verified across 100 records. The external application URL is simply not in the payload. applyType is recorded in notes so Easy Apply is distinguishable, but resolving the real URL needs a different actor or a follow-up fetch of the job page. NEEDS DECISION: which. 2026-09-05: CORROBORATED BY THE ACTOR DOCS. The README advertises ""direct application URLs"" under Features, but the published Output Example contains NO applyUrl field at all - matching the measured finding across 100 rows. The docs oversell; the field is not delivered. Remains blocked by the source. NOTE easyApply is an available INPUT filter, so the workaround worth testing is fetching with easyApply=false to bias toward externally-applied roles, rather than trying to recover a URL that is never sent."
JSV2S1023,Ingestion,Job Ingestion,Fetcher,Reed,[Functional] Integrate Reed source,Implement Reed API extraction and retrieve configured job fields.,,Phase 2,Not Started,
JSV2S1024,Ingestion,Job Ingestion,Fetcher,Adzuna,[Functional] Integrate Adzuna source,Implement Adzuna API extraction and retrieve configured job fields.,,Phase 2,Not Started,
JSV2S1025,Ingestion,Job Ingestion,Fetcher,Visa Sponsor Jobs,[Functional] Integrate VisaSponsor.jobs API,Fetch jobs from the configured VisaSponsor.jobs API endpoint.,,Phase 2,Not Started,
JSV2S1026,Ingestion,Job Ingestion,Fetcher,Jooble,[Functional] Integrate Jooble source,Implement Jooble extraction using the supported access mechanism.,,Phase 2,Not Started,
JSV2S1027,Ingestion,Job Ingestion,Watcher,Verified Sponsor Companies,[Functional] Define verified sponsor company registry,Maintain the list of companies whose career sites should be monitored specifically for sponsorship opportunities.,,Phase 2,Not Started,
JSV2S1028,Ingestion,Job Ingestion,Watcher,Career Sites,[Functional] Define career-site source configuration,Configure company career URLs/ATS endpoints and source-specific fetch rules.,,Phase 2,Not Started,
JSV2S1029,Ingestion,Job Ingestion,Watcher,Career Sites,[Functional] Implement career-site watcher adapter,Fetch new or changed jobs directly from verified company career sites.,,Phase 2,Not Started,
JSV2S1030,Ingestion,Job Ingestion,Watcher,Career Sites,[Functional] Detect new/updated career jobs,Identify newly posted and changed roles across watched career sites.,,Phase 2,Not Started,
JSV2S1031,Ingestion,Job Ingestion,Upload,Manual Job Creation,[Functional] Define upload template,Create a standard CSV/XLSX format for manually adding jobs not discovered through configured sources.,,Phase 1,Completed,config/upload-template.csv plus a field reference panel on the upload page.
JSV2S1032,Ingestion,Job Ingestion,Upload,Manual Job Creation,[Functional] Implement file upload ingestion,Allow uploaded jobs to enter the same ingestion pipeline as fetched jobs.,,Phase 1,Completed,CSV/XLSX/JSON behind one parser interface; each valid row auto-creates an application (D1).
JSV2S1033,Ingestion,Job Ingestion,Upload,Validation,[Functional] Validate uploaded job records,Validate required fields and reject/flag malformed records before ingestion.,,Phase 1,Completed,Row-level isolation: a bad row is rejected with a reason and the batch continues.
JSV2S1034,Ingestion,Job Ingestion,Upload,Source Traceability,[Functional] Capture manual/inbound source metadata,"Record where manually uploaded jobs originated, e.g. referral, recruiter, external portal, networking lead.",,Phase 1,Completed,raw_jobs.inbound_source_detail plus a 10-value source enum.
JSV2S1035,Ingestion,Job Ingestion,Pre-Qualification,Mapping & Normalisation,[Functional] Implement source-to-canonical mapping,Transform each source response into the common RawJob structure using mapping configuration/custom parser logic.,,Phase 1.5,Ready,Header alias map covers the manual-upload case.
JSV2S1036,Ingestion,Job Ingestion,Pre-Qualification,Validation,[Functional] Validate canonical RawJob,"Ensure required fields such as title, company, source and source URL are present and correctly formatted.",,Phase 1,Completed,Delivered as part of JSV2S1033.
JSV2S1037,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Functional] Define pre-qualification rules,"Establish configurable filters for domain, role, experience and location.",,Phase 1.5,Completed,"RESOLVED + BUILT + CALIBRATED 2026-09-04. Recalibrated against a real 100-job London dataset, which found three defects the rules had: 'payments' did not match 'payment' (singular), bare 'risk' passed an IT/Cyber Risk role, and 'apple pay' passed a grocery delivery app. Thresholds set from measurement: domain pass 3, unstated experience passes. 14% pass / 17% review / 69% reject. VALIDATED 2026-09-05: migrations 0005+0006 applied to the live database and the integration suite passed 17/17, covering the gated ingest path end to end."
JSV2S1038,Ingestion,Job Ingestion,Pre-Qualification,Filtering,[Functional] Apply pre-qualification filters,Apply configured rules before jobs reach the downstream dashboard.,,Phase 1.5,Completed,"BUILT 2026-09-04. Gate runs in ingestRows between dedupe and persist. Manual uploads are evaluated but never gated; scheduled runs gate for real (ADR-0006). Review queue at /review with promote and reject. NOT yet run against a live database - migration 0006 is unapplied. VALIDATED 2026-09-05: migrations 0005+0006 applied to the live database and the integration suite passed 17/17, covering the gated ingest path end to end."
JSV2S1039,Ingestion,Job Ingestion,Pre-Qualification,Dedupe,[Functional] Implement job identity resolution,"Determine job identity using source + source job ID, external URL and fallback fingerprint.",,Phase 1,Completed,"Two-tier identity: (source, source_job_id) unique index, else sha256 fingerprint."
JSV2S1040,Ingestion,Job Ingestion,Pre-Qualification,Classification,[Functional] Classify job lifecycle state,"Classify jobs as New, Existing, Updated, Reposted or Duplicate.",,Phase 1.5,Completed,"BUILT 2026-09-03, WIRED 2026-09-04. content_hash now exists on raw_jobs (migration 0006) and is written on ingest, so Updated vs Reposted has a comparison basis. classifyObservation is still only called on a repeat sighting, which needs the Apify adapter. VALIDATED 2026-09-05: migrations 0005+0006 applied to the live database and the integration suite passed 17/17, covering the gated ingest path end to end."
JSV2S1041,Ingestion,Job Ingestion,Pre-Qualification,Lifecycle,[Functional] Track first/last seen timestamps,Maintain job observation history to support repost and active-listing detection.,,Phase 1,Completed,Duplicates advance last_seen_at rather than inserting.
JSV2S1042,Ingestion,Job Ingestion,Notification,Daily Summary,[Functional] Define daily ingestion summary,Define the daily metrics and job summary to be communicated.,,Phase 1.5,Review,"DECIDED 2026-09-04: GitHub Actions job summary, not email. The run already produces the numbers, Actions renders markdown and emails on failure by itself - zero dependency, zero cost. 2026-09-05: unvalidated - no digest has been sent. Needs a live send, which needs E8-T02 deployment."
JSV2S1043,Ingestion,Job Ingestion,Notification,Daily Summary,[Functional] Generate daily job digest,"Generate a summary of jobs fetched, new jobs, reposts, updates and notable failures.",,Phase 1.5,Review,"BUILT 2026-09-04. features/pipeline/digest.ts, pure markdown rendering. Leads with the headline number, then ingestion funnel, pre-qualification split, scoring, spend, and the best jobs found. 2026-09-05: unvalidated - no digest has been sent. Needs a live send, which needs E8-T02 deployment."
JSV2S1044,Ingestion,Job Ingestion,Notification,Email,[Functional] Implement daily mailer,Send the daily ingestion summary to the configured recipient(s).,,Phase 1.5,Review,"BUILT 2026-09-04 as the GitHub Actions job summary rather than a mailer. No mail provider, no API key, no new dependency; Actions emails on failure natively. 2026-09-05: unvalidated - no digest has been sent. Needs a live send, which needs E8-T02 deployment."
JSV2S1045,Ingestion,Job Ingestion,Notification,Monitoring,[Functional] Surface source failures in notification,Highlight failed/partial source runs so ingestion health is visible alongside the job summary.,,Phase 1.5,Review,"BUILT 2026-09-04. Source failures get their own section in the digest, above the fold - a partial run that looks like a quiet day is the failure mode worth catching. 2026-09-05: unvalidated - no digest has been sent. Needs a live send, which needs E8-T02 deployment."
JSV2S1046,Ingestion,Job Ingestion,Testing,Source Testing,[Platform] Create adapter contract tests,Verify every source adapter conforms to the common interface.,,Phase 2,Not Started,
JSV2S1047,Ingestion,Job Ingestion,Testing,Mapping Testing,[Platform] Create mapping/parser tests,Validate representative source payloads against expected RawJob outputs.,,Phase 1,Completed,"Parser tests cover CSV, JSON and XLSX including Excel date cells."
JSV2S1048,Ingestion,Job Ingestion,Testing,Pipeline Testing,[Platform] Create end-to-end ingestion test,Validate the complete flow from fetch to map to dedupe to persistence and status tracking.,,Phase 1,Completed,tests/integration/phase1.itest.ts covers upload through persistence against a live database.
JSV2S1049,Ingestion,Job Ingestion,Deployment,CI/CD,[Platform] Add ingestion pipeline to CI/CD,"Run tests, validation and deployment checks automatically for ingestion changes.",,Phase 1.5,Review,"Built 2026-09-03. .github/workflows/ci.yml - lint, typecheck, unit tests, build on push/PR. Excludes test:integration deliberately: it writes to the only Supabase project. Never run; will first execute on push."
JSV2S1050,Intelligence,Intelligence,Post Qualification,Job Scorer Agent,Finalise ScoreG locations,"Add Australia, Ireland, Lisbon and Default/EU location handling.",,Phase 1.5,Blocked,"Phase 1.5 W4. NEEDS DECISION: Australia, Ireland, Lisbon and Default/EU handling in the ScoreG prompt."
JSV2S1051,Intelligence,Intelligence,Post Qualification,Job Scorer Agent,Revisit visa evidence weights,"Decide relative weighting between registry-based confirmation, public information, and default flooring score.",,Phase 1.5,Blocked,"Phase 1.5 W4. NEEDS DECISION: relative weighting of registry confirmation vs public information vs default floor. 50% of the score. Pair with JSV2S1127, which makes registry confirmation deterministic."
JSV2S1052,Intelligence,Intelligence,Post Qualification,Job Scorer Agent,Define ScoreG outcome enums,"Classify result as Absolute Match, Relative Match / Transferable Skills, or No Match.",,Phase 1.5,Completed,"RESOLVED 2026-09-04 - ScoreG's priority_apply/apply/referral_only/reject bands stand, per Bharath: 'the final status based on Job score can remain intact for now'. Absolute/Relative/No Match superseded. Revisit is optional, not blocking. VALIDATED 2026-09-05: migrations 0005+0006 applied to the live database and the integration suite passed 17/17, covering the gated ingest path end to end."
JSV2S1053,Intelligence,Intelligence,Post Qualification,Job Scorer Agent,Revisit domain skill set,"Review and finalise currently hard-coded domain skills used by ScoreG. Must cover the Domain Match Bank and the Functional PM Match rubric, since both drive Pillar 2. Specifically resolve whether partnership and vendor management, audit and compliance exposure, and PM coaching/grooming are represented - scoring currently deducts for these as unevidenced despite the master resume carrying them, which suppresses Functional PM Match. Outcome: an explicit, reviewable mapping of domain and functional skills to their evidence in the master resume, agreed before going live.",,Phase 1.5,Blocked,"Phase 1.5 W4. NEEDS DECISION - was Ready, reclassified Blocked 2026-09-03 because it needs your sign-off on the domain/functional mapping, not just implementation. Measured: Functional PM Match scored 20/30 where strategy, stakeholder management and coaching are all evidenced."
JSV2S1054,Intelligence,Intelligence,Pre Qualification,Job Scorer Agent,Define prequalification taxonomy,"Finalise the values for Role, Experience, Domain and Location filters.",,Phase 1.5,Completed,"RESOLVED + BUILT 2026-09-04. Taxonomy in config/prequalification/ - roles.ts, domains.ts, locations.ts, experience/thresholds. Role list is yours verbatim; Product Lead is a normalisation alias onto Lead Product Manager rather than a new entry. VALIDATED 2026-09-05: migrations 0005+0006 applied to the live database and the integration suite passed 17/17, covering the gated ingest path end to end."
JSV2S1055,Intelligence,Intelligence,Pre Qualification,Job Scorer Agent,Define match classification,"Define when a job qualifies as an absolute match vs associated/relative match, including weighting across individual parameters.",,Phase 1.5,Completed,"RESOLVED 2026-09-04 - closes conflict C3. Pre-qualification is its own axis: pass/review/reject, distinct from the post-score MATCH_CATEGORIES bands. There were always two axes, not three vocabularies for one. VALIDATED 2026-09-05: migrations 0005+0006 applied to the live database and the integration suite passed 17/17, covering the gated ingest path end to end."
JSV2S1056,Intelligence,Intelligence,Pre Qualification,Job Scorer Agent,Build configuration-driven filter engine,Implement filtering through configuration rather than code/deployment changes.,,Phase 1.5,Completed,"BUILT 2026-09-04. config/prequalification/ as TS-as-data + a content hash (CONFIG_VERSION) stored on every verdict, so widening a list makes previously-rejected jobs findable and re-runnable via requalifyStale(). TS rather than YAML: no parser dependency, and comments survive. VALIDATED 2026-09-05: migrations 0005+0006 applied to the live database and the integration suite passed 17/17, covering the gated ingest path end to end."
JSV2S1057,Optimization,Intelligence,CV Optimiser,Resume Tailoring,ATS Check Enhancer,"Address formatting issues, whitespace problems and incorrect LinkedIn URL.",,Phase 1.5,Completed,"COMPLETED 2026-09-05. The note ""prompt-level change in CVG"" was WRONG and is superseded. Whitespace, curly quotes, glyph bullets and the LinkedIn URL are mechanical defects with one correct repair, so lib/documents/ats.ts fixes them deterministically on the settleAiJobs write path; the CVG prompt now stops asking. Tables, HTML, images, non-standard headings and a missing contact line are FLAGGED, never rewritten. Emits a deterministic parseScore consumed by SimG. 14 unit tests. TWO BUGS FOUND AND FIXED IN REVIEW: the first regex padded both ends with \s* and swallowed the blank line after the contact block, and it rewrote a third party's LinkedIn profile to the candidate's own. Repair is now scoped to the header block only. Validated by the live integration run."
JSV2S1058,Optimization,Intelligence,CV Optimiser,Resume Tailoring,Mandatory PassG criteria,Adversarial agent verification of CV optimiser output should be made mandatory.,,Phase 1.5,Completed,"COMPLETED 2026-09-05, validated against the live database (18/18 integration assertions). SimG is a mandatory, automatic second call after every tailor_cv, isolated so a failed evaluation never costs the CV. It evaluates the CV ONLY - the cover letter is deliberately not revised. prompts/cvg/SIMG.md rewritten from a prose verdict into a priced worklist; config/simg.ts holds the lens weights (ATS .30 / recruiter .35 / HM .35), the pass bar and the composite. Recommendations are INDEPENDENT BY CONSTRUCTION - one per target, one deficiency each, applicable in any order - which is what makes the points additive and the running score honest. The whole worklist must fit one A4 page so ""accept all"" can never overflow. CVG no longer reports score, verdict, match % or keyword coverage: SimG owns all four. Own ai_jobs task type, so cost is a separate line."
JSV2S1059,Optimization,Intelligence,CV Optimiser,Resume Tailoring,Secondary LLM Evaluation,Add independent resume scoring/evaluation using a secondary LLM.,,Phase 2,Not Started,Google AI Studio free tier is a candidate; verify current terms first.
JSV2S1060,Optimization,Intelligence,CV Optimiser,Resume Tailoring,Optimisation threshold,Confirm target score and optimisation objective; current stated aspiration is 90+.,,Phase 1.5,Blocked,Phase 1.5 W6. NEEDS DECISION: target score and optimisation objective; stated aspiration is 90+. Sets SimG's pass bar.
JSV2S1061,Optimization,Intelligence,CV Optimiser,Resume Tailoring,Gap Analysis,"Identify domain, experience, visa and other gaps against the job.",,Phase 1,Completed,Storage and display done: job_score_analysis.gaps renders in the workspace. Quality depends on the exported ScoreG prompt.
JSV2S1062,Optimization,Intelligence,CV Optimiser,Resume Tailoring,CV/CL optimisation recommendations,Confirm how much suggested content can be incorporated and how the projected score improvement should be represented.,,Phase 2,Not Started,
JSV2S1063,Optimization,Intelligence,CV Optimiser,Resume Tailoring,Interview Preparation Pointers,Surface a brief list of areas to prepare where domain/experience gaps are material.,,Phase 2,Not Started,
JSV2S1064,Preparation,Preparation,Technical Interview,Technical Guru,Remove unwanted sections while creating a chapter,Simplify existing Technical Guru structure by removing pre-quiz/post-quiz/homework sections.,,Phase 3,Not Started,
JSV2S1065,Preparation,Preparation,Technical Interview,Technical Guru,Finalise authoring voice,Confirm desired tone and whether the document should explicitly avoid interview-preparation framing.,,Phase 3,Not Started,
JSV2S1066,Preparation,Preparation,Technical Interview,Technical Guru,Remove first-person personalisation,Content should not directly address the candidate.,,Phase 3,Not Started,
JSV2S1067,Preparation,Preparation,Technical Interview,Technical Guru,Add Juspay context,"Author can use Juspay's business, PA/PayFac and India vs international context for relevant parallels.",,Phase 3,Not Started,
JSV2S1068,Preparation,Preparation,Technical Interview,Technical Guru,Video links,Define/add relevant explanatory video links where useful.,,Phase 3,Not Started,
JSV2S1069,Preparation,Preparation,Technical Interview,Technical Guru,NotebookLM output requirements,"TL;DR, podcast/audio, chapter-wise video/audio with a maximum duration of 12 minutes.",,Phase 3,Not Started,
JSV2S1070,Preparation,Preparation,Technical Interview,Technical Guru,NotebookLM integration,Determine technical mechanism for generating/embedding NotebookLM-derived outputs.,,Phase 3,Not Started,No known API; likely stays manual.
JSV2S1071,Preparation,Preparation,Case Study Interview,Case Study Guide,Finalise case examples,Rework and approve the examples used in the consolidated case-study guide.,,Phase 3,Not Started,
JSV2S1072,Preparation,Preparation,Case Study Interview,Case Study Guide,Define template variations,Finalise the case types/variations for which reusable templates should exist.,,Phase 3,Not Started,
JSV2S1073,Preparation,Preparation,Case Study Interview,Case Study Guide,Claude practice workflow,Explore a practice environment through Claude; currently marked as ambitious.,,Phase 3,Not Started,
JSV2S1074,Applications,Application Management,Application Dashboard,Unified Application Workspace,Create unified application dashboard,"Provide a single workspace to view and manage all jobs that have progressed into an application, from Ready to Apply through final outcome.",P0,Phase 1,Completed,"/applications with per-row score, match, visa signal, referral, status and next action."
JSV2S1075,Applications,Application Management,Application Dashboard,Application Views,Define application lifecycle views,"Organise applications across key stages such as Ready to Apply, Applied, In Process, Pending and Closed.",P0,Phase 1,Completed,Five views that partition cleanly; Pending is carved out of Active so counts sum to the total.
JSV2S1076,Applications,Application Management,Application Dashboard,Application Detail,Create application detail view,"Provide a consolidated view of everything relevant to an application - job, score, resume, cover letter, referral, outreach and application history.",P0,Phase 1,Completed,Outreach section deferred (C4); all other sections present.
JSV2S1077,Applications,Application Management,Application Dashboard,Job Context,Display original job information,"Retain access to the original job posting, source, job link and relevant posting information.",P0,Phase 1,Completed,Job panel with posting metadata plus original and direct-apply links.
JSV2S1078,Applications,Application Management,Application Preparation,Resume & Cover Letter,Attach tailored resume and cover letter,Store and surface the role-specific CV and CL prepared for the application.,P0,Phase 1,Completed,"application_documents, versioned; markdown in Postgres so no Storage dependency."
JSV2S1079,Applications,Application Management,Application Preparation,Resume & Cover Letter,Download application material,Allow the user to download the final resume and cover letter for application.,P0,Phase 1,Completed,Markdown download with company-role-type-version filenames. PDF export deferred per PRD.
JSV2S1080,Applications,Application Management,Application Preparation,Job Score,Display post-qualification Job Score,Show the score used to determine the application opportunity.,P0,Phase 1,Completed,Score plus match category and visa signal.
JSV2S1081,Applications,Application Management,Application Preparation,Job Score,Display detailed score analysis,"Provide the reasoning, strengths, weaknesses and relevant signals behind the Job Score.",P0,Phase 1,Completed,Strengths/gaps/visa signals plus the full report behind a disclosure.
